team,home_away,w_l_d,shutouts,all_red,all_yellow,foul_mean,foul_median,score_mean,score_med,goal_rate,Draw,Loss,Win,wld_ratio,win_percent
Drake Bulldogs,Away,0.36538461538461536,4,1,34,10.307692307692308,8.5,0.9615384615384615,1,0.11261261261261261,9,12,5,5-12-9,19.230769230769234
Drake Bulldogs,Home,0.5714285714285714,12,1,18,9.19047619047619,9,0.8571428571428571,1,0.09090909090909091,4,7,10,10-7-4,47.61904761904761
Drexel Dragons,Away,0.5434782608695652,6,0,19,10.782608695652174,11,1.4782608695652175,1,0.12878787878787878,3,9,11,11-9-3,47.82608695652174
Drexel Dragons,Home,0.5714285714285714,6,1,19,11.285714285714286,11,1.7619047619047619,1,0.11077844311377245,6,6,9,9-6-6,42.857142857142854
Duke Blue Devils,Away,0.6935483870967742,16,1,20,8.548387096774194,8,1.6129032258064515,1,0.1392757660167131,5,7,19,19-7-5,61.29032258064516
Duke Blue Devils,Home,0.75,19,0,22,8.029411764705882,8,2.176470588235294,1.5,0.13528336380255943,3,7,24,24-7-3,70.58823529411765
Duquesne Dukes,Away,0.2857142857142857,5,1,19,8.380952380952381,7,0.7619047619047619,0,0.0761904761904762,2,14,5,5-14-2,23.809523809523807
Duquesne Dukes,Home,0.5,1,0,22,9.1,9.5,1.4,1,0.109375,4,8,8,8-8-4,40
ETSU Buccaneers (Bucs),Away,0.4782608695652174,8,1,24,10.652173913043478,10,0.7391304347826088,1,0.08292682926829269,6,9,8,8-9-6,34.78260869565217
ETSU Buccaneers (Bucs),Home,0.3888888888888889,5,1,24,10.5,10,0.8888888888888888,1,0.0855614973262032,4,9,5,5-9-4,27.77777777777778
East Carolina Pirates,Away,0.36538461538461536,3,1,31,8.23076923076923,7.5,0.8846153846153846,1,0.09871244635193133,5,14,7,7-14-5,26.923076923076923
East Carolina Pirates,Home,0.5652173913043478,11,0,14,8.173913043478262,8,1.2173913043478262,1,0.10566037735849057,2,9,12,12-9-2,52.17391304347826
Eastern Ill. Panthers,Away,0.20454545454545453,4,2,11,8.5,8.5,0.3181818181818182,0,0.041916167664670656,7,14,1,1-14-7,4.545454545454546
Eastern Ill. Panthers,Home,0.42857142857142855,7,0,6,8.238095238095237,8,0.8571428571428571,1,0.08333333333333333,4,10,7,7-10-4,33.33333333333333
Eastern Ky. Colonels,Away,0.41666666666666663,7,0,24,10.833333333333334,11.5,1.0833333333333335,1,0.09252669039145907,2,13,9,9-13-2,37.5
Eastern Ky. Colonels,Home,0.5869565217391305,7,1,13,10.608695652173914,10,1.4782608695652173,2,0.10029498525073746,1,9,13,13-9-1,56.52173913043478
Eastern Mich. Eagles,Away,0.30434782608695654,4,0,17,9.217391304347826,8,1,1,0.09387755102040816,2,15,6,6-15-2,26.08695652173913
Eastern Mich. Eagles,Home,0.34090909090909094,0,0,5,8.409090909090908,8,1.3636363636363638,1,0.10067114093959731,5,12,5,5-12-5,22.727272727272727
Eastern Wash. Eagles,Away,0.22000000000000003,4,2,19,9.120000000000001,10,0.6799999999999999,0,0.07234042553191489,5,17,3,3-17-5,12
Eastern Wash. Eagles,Home,0.6190476190476191,8,0,12,10,10,1.6666666666666665,1,0.1282051282051282,2,7,12,12-7-2,57.14285714285714
Elon Phoenix,Away,0.5217391304347826,9,0,18,8.782608695652174,8,1,1,0.09745762711864407,2,10,11,11-10-2,47.82608695652174
Elon Phoenix,Home,0.6590909090909091,11,0,24,8.90909090909091,8.5,1.5454545454545454,1.5,0.11486486486486487,3,6,13,13-6-3,59.09090909090909
Evansville Purple Aces,Away,0.375,6,1,18,7.875,8,0.75,1,0.08333333333333333,8,11,5,5-11-8,20.833333333333336
Evansville Purple Aces,Home,0.5,7,0,6,6,6,1,1,0.11046511627906977,7,6,6,6-6-7,31.57894736842105
FDU Knights,Away,0.29166666666666663,0,2,16,10.916666666666666,11.5,1.1666666666666667,1,0.12389380530973451,3,7,2,2-7-3,16.666666666666664
FDU Knights,Home,0.6,3,1,8,11.2,11.5,1.7,1,0.09239130434782608,0,4,6,6-4-0,60
FGCU Eagles,Away,0.525,6,0,20,12.45,11,1.25,1,0.10040160642570281,1,9,10,10-9-1,50
FGCU Eagles,Home,0.7,14,0,17,10.366666666666667,9,1.7666666666666666,2,0.09397163120567376,4,7,19,19-7-4,63.33333333333333
FIU Panthers,Away,0.22727272727272727,5,0,28,10.272727272727273,9.5,0.8181818181818181,1,0.08737864077669903,4,15,3,3-15-4,13.636363636363635
FIU Panthers,Home,0.2857142857142857,3,0,19,6.571428571428571,6,1.1428571428571428,1,0.09486166007905138,2,14,5,5-14-2,23.809523809523807
Fairfield Stags,Away,0.47826086956521746,4,0,15,8.956521739130435,9,1.3043478260869565,1,0.09375,4,10,9,9-10-4,39.130434782608695
Fairfield Stags,Home,0.7857142857142857,8,1,8,10.523809523809524,12,2.2857142857142856,2,0.12060301507537688,1,4,16,16-4-1,76.19047619047619
Fairleigh Dickinson Knights,Away,0.5588235294117647,7,1,13,9.470588235294118,10,1.2941176470588236,1,0.10891089108910891,3,6,8,8-6-3,47.05882352941176
Fairleigh Dickinson Knights,Home,0.6818181818181818,4,0,8,10.636363636363637,9,1.4545454545454546,1,0.11940298507462686,1,3,7,7-3-1,63.63636363636363
Fla. Atlantic Owls,Away,0.5192307692307693,8,1,16,10,9.5,1.1923076923076923,1,0.10197368421052631,5,10,11,11-10-5,42.30769230769231
Fla. Atlantic Owls,Home,0.54,10,0,19,9.64,9,1.4,1,0.1206896551724138,5,9,11,11-9-5,44
Florida Gators,Away,0.2666666666666667,5,1,29,9.3,8,1.3666666666666665,1,0.12852664576802508,4,20,6,6-20-4,20
Florida Gators,Home,0.33333333333333337,4,1,28,11.291666666666666,10.5,1.2083333333333335,1,0.1070110701107011,4,14,6,6-14-4,25
Florida St. Seminoles,Away,0.8194444444444444,20,0,31,8.055555555555555,8,2.333333333333333,2,0.1575984990619137,7,3,26,26-3-7,72.22222222222221
Florida St. Seminoles,Home,0.9285714285714286,16,0,12,8.464285714285714,7,3.107142857142857,3.5,0.16477272727272727,2,1,25,25-1-2,89.28571428571429
Fordham Rams,Away,0.33999999999999997,4,0,16,9,8,0.72,1,0.06228373702422145,1,16,8,8-16-1,32
Fordham Rams,Home,0.3611111111111111,4,1,14,12.722222222222221,12,1.3888888888888888,1.5,0.1201923076923077,3,10,5,5-10-3,27.77777777777778
Fresno St. Bulldogs,Away,0.2777777777777778,3,2,31,10.407407407407407,10,0.7407407407407408,1,0.08298755186721991,5,17,5,5-17-5,18.51851851851852
Fresno St. Bulldogs,Home,0.6190476190476191,7,1,15,8.428571428571429,8,1.7619047619047619,1,0.16299559471365638,4,6,11,11-6-4,52.38095238095239
Furman Paladins,Away,0.5652173913043479,8,0,12,7.739130434782608,8,1.8695652173913042,2,0.12112676056338029,2,9,12,12-9-2,52.17391304347826
Furman Paladins,Home,0.6730769230769231,12,0,15,8.615384615384615,8.5,1.9615384615384615,2,0.1146067415730337,3,7,16,16-7-3,61.53846153846154
